Datetime,Water Level (m)
2023-01-31 00:00:00,-0.025334556
2023-01-31 01:00:00,-0.15658325
2023-01-31 02:00:00,-0.37420732
2023-01-31 03:00:00,-0.61172825
2023-01-31 04:00:00,-0.7812116
2023-01-31 05:00:00,-0.89031804
2023-01-31 06:00:00,-0.9127778
2023-01-31 07:00:00,-0.8262518
2023-01-31 08:00:00,-0.57491666
2023-01-31 09:00:00,-0.29178226
2023-01-31 10:00:00,-0.009096716
2023-01-31 11:00:00,0.19787492
2023-01-31 12:00:00,0.29158518
2023-01-31 13:00:00,0.26516643
2023-01-31 14:00:00,0.13199645
2023-01-31 15:00:00,-0.073117934
2023-01-31 16:00:00,-0.3057198
2023-01-31 17:00:00,-0.5082332
2023-01-31 18:00:00,-0.65100414
2023-01-31 19:00:00,-0.7080819
2023-01-31 20:00:00,-0.687851
2023-01-31 21:00:00,-0.5799035
2023-01-31 22:00:00,-0.40223673
2023-01-31 23:00:00,-0.22890162
2023-02-01 00:00:00,-0.11195926
2023-02-01 01:00:00,-0.06486965
2023-02-01 02:00:00,-0.118196994
2023-02-01 03:00:00,-0.28006488
2023-02-01 04:00:00,-0.50513417
2023-02-01 05:00:00,-0.7276615
2023-02-01 06:00:00,-0.91378254
2023-02-01 07:00:00,-1.0151697
2023-02-01 08:00:00,-0.95022845
2023-02-01 09:00:00,-0.7059463
2023-02-01 10:00:00,-0.3711134
2023-02-01 11:00:00,-0.00987254
2023-02-01 12:00:00,0.2561872
2023-02-01 13:00:00,0.38460883
2023-02-01 14:00:00,0.38664562
2023-02-01 15:00:00,0.23363869
2023-02-01 16:00:00,-0.03619826
2023-02-01 17:00:00,-0.3318181
2023-02-01 18:00:00,-0.5948807
2023-02-01 19:00:00,-0.78184813
2023-02-01 20:00:00,-0.90168774
2023-02-01 21:00:00,-0.89318985
2023-02-01 22:00:00,-0.7134152
2023-02-01 23:00:00,-0.45589915
2023-02-02 00:00:00,-0.20485127
2023-02-02 01:00:00,-0.01059151
2023-02-02 02:00:00,0.053594023
2023-02-02 03:00:00,-0.021875814
2023-02-02 04:00:00,-0.23490621
2023-02-02 05:00:00,-0.5430023
2023-02-02 06:00:00,-0.8151906
2023-02-02 07:00:00,-1.0361339
2023-02-02 08:00:00,-1.1006027
2023-02-02 09:00:00,-1.0192964
2023-02-02 10:00:00,-0.7476645
2023-02-02 11:00:00,-0.3000332
2023-02-02 12:00:00,0.07943893
2023-02-02 13:00:00,0.37409028
2023-02-02 14:00:00,0.51783127
2023-02-02 15:00:00,0.49788928
2023-02-02 16:00:00,0.27994233
2023-02-02 17:00:00,-0.05904131
2023-02-02 18:00:00,-0.41536614
2023-02-02 19:00:00,-0.7336427
2023-02-02 20:00:00,-0.97033554
2023-02-02 21:00:00,-1.0922267
2023-02-02 22:00:00,-1.0249046
2023-02-02 23:00:00,-0.770014
2023-02-03 00:00:00,-0.39844257
2023-02-03 01:00:00,-0.07466672
2023-02-03 02:00:00,0.13071334
2023-02-03 03:00:00,0.16324809
2023-02-03 04:00:00,0.027860697
2023-02-03 05:00:00,-0.2706904
2023-02-03 06:00:00,-0.6496886
2023-02-03 07:00:00,-0.96634454
2023-02-03 08:00:00,-1.1990212
2023-02-03 09:00:00,-1.2574557
2023-02-03 10:00:00,-1.1206553
2023-02-03 11:00:00,-0.6999888
2023-02-03 12:00:00,-0.17765509
2023-02-03 13:00:00,0.2562825
2023-02-03 14:00:00,0.56889373
2023-02-03 15:00:00,0.66122407
2023-02-03 16:00:00,0.55473346
2023-02-03 17:00:00,0.23855577
2023-02-03 18:00:00,-0.19176535
2023-02-03 19:00:00,-0.6166492
2023-02-03 20:00:00,-0.94578546
2023-02-03 21:00:00,-1.1978734
2023-02-03 22:00:00,-1.2645911
2023-02-03 23:00:00,-1.0982971
2023-02-04 00:00:00,-0.6796958
2023-02-04 01:00:00,-0.22083764
2023-02-04 02:00:00,0.14210044
2023-02-04 03:00:00,0.30820888
2023-02-04 04:00:00,0.27356684
2023-02-04 05:00:00,0.033915527
2023-02-04 06:00:00,-0.38850933
2023-02-04 07:00:00,-0.7958826
2023-02-04 08:00:00,-1.1535025
2023-02-04 09:00:00,-1.352903
2023-02-04 10:00:00,-1.3420302
2023-02-04 11:00:00,-1.091847
2023-02-04 12:00:00,-0.5241255
2023-02-04 13:00:00,0.042370617
2023-02-04 14:00:00,0.4966348
2023-02-04 15:00:00,0.751493
2023-02-04 16:00:00,0.77432996
2023-02-04 17:00:00,0.5487635
2023-02-04 18:00:00,0.11627132
2023-02-04 19:00:00,-0.38930765
2023-02-04 20:00:00,-0.8275691
2023-02-04 21:00:00,-1.1855481
2023-02-04 22:00:00,-1.377873
2023-02-04 23:00:00,-1.3278548
2023-02-05 00:00:00,-1.0215971
2023-02-05 01:00:00,-0.44074228
2023-02-05 02:00:00,0.052139945
2023-02-05 03:00:00,0.3735141
2023-02-05 04:00:00,0.44075423
2023-02-05 05:00:00,0.29939005
2023-02-05 06:00:00,-0.08256188
2023-02-05 07:00:00,-0.5887845
2023-02-05 08:00:00,-0.9969946
2023-02-05 09:00:00,-1.3261925
2023-02-05 10:00:00,-1.4586295
2023-02-05 11:00:00,-1.3422313
2023-02-05 12:00:00,-0.95703375
2023-02-05 13:00:00,-0.25211304
2023-02-05 14:00:00,0.31697294
2023-02-05 15:00:00,0.740151
